Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Org_Result_Value,Org_Result_Unit,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,MBLK1,,,1,1,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Alachua,Wauberg,1,10/12/25,,1,99,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Citrus,Crystal River-1,1,7/14/25,,1,11,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Citrus,Crystal River-6,1,7/19/25,,1,4494,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Citrus,Crystal River-7,1,7/14/25,,1,11,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Clay,Asbury North,1,7/28/25,,1,153,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Clay,Fox Valley,1,7/12/25,,1,113,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-1,1,7/23/25,,1,35,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-3,1,7/23/25,,1,28,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-4,1,7/23/25,,1,18,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-5,1,7/23/25,,1,34,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-6,1,7/23/25,,1,20,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-1,1,10/8/25,,1,25,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-3,1,10/8/25,,1,34,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-5,1,10/8/25,,1,24,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-6,1,10/8/25,,1,31,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Mountain,1,7/27/25,,1,97,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Highlands,Clay,1,7/24/25,,1,163,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Highlands,Jackson,1,7/14/25,,1,140,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hillsborough,Armistead,1,7/29/25,,1,234,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hillsborough,Armistead,DUP1,7/29/25,,1,234,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,ALTQC1,,,1,451,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,CCV1,,,1,987,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,MBLK2,,,1,1,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hillsborough,Island Ford,1,10/1/25,,1,141,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Lake,Bear,1,10/1/25,,1,78,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Lake,Louisa,1,10/1/25,,1,71,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Orange,Hickorynut,1,7/27/25,,1,180,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Orange,Hickorynut South,1,7/27/25,,1,171,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Orange,Ola,1,7/17/25,,1,200,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Pasco,Ann,1,10/2/25,,1,234,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Pinellas,Bellevue,1,10/16/25,,1,259,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Pinellas,Meadow West,1,7/24/25,,1,449,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Pinellas,Saundra,1,10/2/25,,1,789,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Pinellas,Seminole,1,10/6/25,,1,1014,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Pinellas,Winston,1,7/20/25,,1,7,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Anderson Cue,1,10/7/25,,1,32,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Anderson Cue,2,10/7/25,,1,34,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Anderson Cue,3,10/7/25,,1,32,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Barco,1,10/7/25,,1,30,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Barco,2,10/7/25,,1,25,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Barco,3,10/7/25,,1,30,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Blue,1,10/5/25,,1,30,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Blue,DUP2,10/5/25,,1,30,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,ALTQC2,,,1,448,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,CCV2,,,1,967,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,MBLK3,,,1,1,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Enslow,1,10/7/25,,1,21,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Enslow,2,10/7/25,,1,21,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Enslow,3,10/7/25,,1,22,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Fanny,1,10/11/25,,1,60,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Goose,1,10/8/25,,1,62,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Goose,2,10/8/25,,1,62,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Goose,3,10/8/25,,1,63,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,McCloud,1,10/7/25,,1,28,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,McCloud,2,10/7/25,,1,29,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,McCloud,3,10/7/25,,1,29,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Ross,1,10/8/25,,1,65,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Ross,2,10/8/25,,1,72,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Ross,3,10/8/25,,1,65,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Rowan,1,10/7/25,,1,43,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Rowan,2,10/7/25,,1,44,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Rowan,3,10/7/25,,1,43,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Suggs,1,10/8/25,,1,70,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Suggs,2,10/8/25,,1,70,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Suggs,3,10/8/25,,1,70,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Putnam,Suggs,DUP3,10/8/25,,1,70,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,ALTQC3,,,1,441,uS/cm,,,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,CCV3,,,1,955,uS/cm,,,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,MBLK4,,,,,uS/cm,,V,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,DUP4,,,,,uS/cm,,,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,ALTQC4,,,,,uS/cm,,J,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,CCV4,,,,,uS/cm,,J,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,MBLK5,,,,,uS/cm,,V,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,DUP5,,,,,uS/cm,,,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,ALTQC5,,,,,uS/cm,,J,Q,Q,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,CCV5,,,,,uS/cm,,J,Q,Q,,QAQC,COND1117202511182025,,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,MBLK1,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Fall_Belchior_Student,1,8/13/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Fall_Belchior_Student,2,8/13/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Spring_Belchior_Student,1,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Spring_Belchior_Student,2,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Spring_Belchior_Student,3,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Spring_Belchior_Student,4,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Spring_Belchior_Student,5,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Downstream Spring_Belchior_Student,6,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Fall_Belchior_Student,1,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Fall_Belchior_Student,2,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Fall_Belchior_Student,3,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Fall_Belchior_Student,4,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Spring_Belchior_Student,1,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Spring_Belchior_Student,2,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Spring_Belchior_Student,3,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Upstream Spring_Belchior_Student,4,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Fall_Belchior_Student,1,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Fall_Belchior_Student,2,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Fall_Belchior_Student,3,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Fall_Belchior_Student,DUP1,8/13/25,,1,,uS/cm,,,,,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,ALTQC1,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,CCV1,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,MBLK2,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Spring_Belchior_Student,1,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Spring_Belchior_Student,2,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Ponar Spring_Belchior_Student,3,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Canal Fall_Belchior_Student,1,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Canal Fall_Belchior_Student,2,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Canal Fall_Belchior_Student,3,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Canal Spring_Belchior_Student,1,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Canal Spring_Belchior_Student,2,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Canal Spring_Belchior_Student,3,4/30/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Fall_Belchior_Student,1,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Fall_Belchior_Student,2,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Fall_Belchior_Student,3,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Fall_Belchior_Student,3DUP,8/13/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Spring_Belchior_Student,1,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Spring_Belchior_Student,2,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Reservoir Spring_Belchior_Student,3,4/29/25,,1,,uS/cm,,,Q,Q,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Saint Johns Fall_Belchior_Student,1,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Saint Johns Fall_Belchior_Student,2,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Saint Johns Fall_Belchior_Student,3,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Saint Johns Fall_Belchior_Student,DUP2,8/12/25,,1,,uS/cm,,,,,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,ALTQC2,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,CCV2,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,,,MBLK3,,,1,,uS/cm,,,Q,Q,,QAQC,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Marion,Saint Johns Fall_Belchior_Student,4,8/12/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,L5,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,L2,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,L4,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,OP2,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,OP1,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,OP3,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,8:08:59 AM,EST,Alachua,Lochloosa_Lajoie_Post-Doc,LC,8/20/25,,1,,uS/cm,,,,,,Sample,COND1014202510152025,Student Project,
