ADAPT_Analyte_ID,Org_Analyte_Name,Activity_Type,Sample_Collection_Type,Sample_Collection_Equipment,Activity_Depth,Activity_Depth_Unit,Total_Depth,Total_Depth_Unit,Analysis_Method,Sample_Fraction,Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Site,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Org_Result_Value,Org_Result_Unit,Org_MDL,Org_PQL,Org_Detection_Unit,Value_Qualifier,Result_Comments,Result_Value_Type_Name,Dilution
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:34:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,1,02/11/2025,08:32:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,12:48:00 PM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,2,02/11/2025,12:46:00 PM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:42:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,3,02/11/2025,08:40:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:18:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,4,02/11/2025,08:16:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,01:14:00 PM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,5,02/11/2025,01:12:00 PM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:54:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,6,02/11/2025,08:52:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,01:03:59 PM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,7,02/11/2025,01:02:00 PM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,09:06:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,8,02/11/2025,09:04:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,10:26:59 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,9,02/11/2025,10:24:59 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,09:18:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-HUD,10,02/11/2025,09:16:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,09:16:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,1,02/10/2025,09:14:00 AM,EST,58,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:07:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,2,02/10/2025,10:05:00 AM,EST,8,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:00:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,3,02/10/2025,09:58:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:26:59 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,4,02/10/2025,10:24:59 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:41:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,5,02/10/2025,10:39:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,09:32:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,6,02/10/2025,09:31:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:10:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,7,02/10/2025,10:08:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,09:47:00 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,8,02/10/2025,09:45:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,01:36:00 PM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,9,02/10/2025,01:34:00 PM,EST,8,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:50:59 AM,EST,03/06/2025,09:20:00 AM,EST,Pasco,PAS-PIT,10,02/10/2025,10:49:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:34:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,1,02/11/2025,08:32:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,12:48:00 PM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,2,02/11/2025,12:46:00 PM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:42:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,3,02/11/2025,08:40:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:18:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,4,02/11/2025,08:16:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,01:14:00 PM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,5,02/11/2025,01:12:00 PM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,08:54:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,6,02/11/2025,08:52:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,01:03:59 PM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,7,02/11/2025,01:02:00 PM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,09:06:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,8,02/11/2025,09:04:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,10:26:59 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,9,02/11/2025,10:24:59 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/11/2025,09:18:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-HUD,10,02/11/2025,09:16:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,09:16:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,1,02/10/2025,09:14:00 AM,EST,44,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:07:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,2,02/10/2025,10:05:00 AM,EST,5,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:00:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,3,02/10/2025,09:58:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:26:59 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,4,02/10/2025,10:24:59 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:41:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,5,02/10/2025,10:39:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,09:32:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,6,02/10/2025,09:31:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:10:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,7,02/10/2025,10:08:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,09:47:00 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,8,02/10/2025,09:45:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,01:36:00 PM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,9,02/10/2025,01:34:00 PM,EST,4,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/10/2025,10:50:59 AM,EST,03/06/2025,09:50:00 AM,EST,Pasco,PAS-PIT,10,02/10/2025,10:49:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,10:12:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,1,02/04/2025,10:10:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,09:59:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,2,02/04/2025,09:57:00 AM,EST,3,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,09:43:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,3,02/04/2025,09:41:00 AM,EST,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,09:13:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,4,02/04/2025,09:11:00 AM,EST,13,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,10:31:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,5,02/04/2025,10:26:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,10:42:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,6,02/04/2025,10:40:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,01:46:00 PM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,7,02/04/2025,01:44:00 PM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,10:56:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,8,02/04/2025,10:54:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,01:28:00 PM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,9,02/04/2025,01:26:00 PM,EST,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/04/2025,02:00:00 PM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-CRY,10,02/04/2025,01:58:00 PM,EST,3,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,09:52:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,1,02/05/2025,09:50:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,10:12:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,2,02/05/2025,10:10:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,09:25:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,3,02/05/2025,09:23:00 AM,EST,4,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,09:06:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,4,02/05/2025,09:04:00 AM,EST,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,08:09:59 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,5,02/05/2025,08:08:00 AM,EST,4,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,10:34:00 AM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,6,02/05/2025,10:32:00 AM,EST,0,ug/L,1,1,ug/L,TI,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,01:44:00 PM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,7,02/05/2025,01:42:00 PM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,02/05/2025,01:30:00 PM,EST,03/06/2025,12:00:00 PM,EST,Citrus,CIT-HOM,8,02/05/2025,01:28:00 PM,EST,7,ug/L,1,1,ug/L,,,Actual,1
