Total_Depth,Total_Depth_Unit,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Org_Result_Value,Org_Result_Unit,Result_Comments,WIN_Value_Qualifier,Data_Category,Run_ID,Study,Comments
,ft,,,MBLK1,01/05/2026,,,,ft,,,QAQC,SECCHI01052026,Project Coast,
3.3,m,Citrus,CIT-CRY,1,12/03/2025,09:23:00 AM,EST,1.8,m,,,Sample,SECCHI01052026,Project Coast,
1.8,m,Citrus,CIT-CRY,2,12/03/2025,09:09:00 AM,EST,1.4,m,,,Sample,SECCHI01052026,Project Coast,
0.5,m,Citrus,CIT-CRY,3,12/03/2025,08:53:00 AM,EST,0.5,m,,S,Sample,SECCHI01052026,Project Coast,
0.6,m,Citrus,CIT-CRY,4,12/03/2025,08:29:00 AM,EST,0.6,m,,S,Sample,SECCHI01052026,Project Coast,
2.2999999999999998,m,Citrus,CIT-CRY,5,12/03/2025,09:37:00 AM,EST,2.3,m,,S,Sample,SECCHI01052026,Project Coast,
1.7,m,Citrus,CIT-CRY,6,12/03/2025,09:52:00 AM,EST,1.7,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Citrus,CIT-CRY,7,12/03/2025,03:49:00 PM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
0.8,m,Citrus,CIT-CRY,8,12/03/2025,10:09:00 AM,EST,0.8,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Citrus,CIT-CRY,9,12/03/2025,03:11:00 PM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
1.9,m,Citrus,CIT-CRY,10,12/03/2025,03:31:00 PM,EST,1.5,m,,,Sample,SECCHI01052026,Project Coast,
0.6,m,Citrus,CIT-HOM,1,12/04/2025,09:26:00 AM,EST,0.6,m,,S,Sample,SECCHI01052026,Project Coast,
0.4,m,Citrus,CIT-HOM,2,12/04/2025,09:39:00 AM,EST,0.4,m,,S,Sample,SECCHI01052026,Project Coast,
0.5,m,Citrus,CIT-HOM,3,12/04/2025,09:12:00 AM,EST,0.5,m,,S,Sample,SECCHI01052026,Project Coast,
0.9,m,Citrus,CIT-HOM,4,12/04/2025,08:56:59 AM,EST,0.9,m,,S,Sample,SECCHI01052026,Project Coast,
2.7,m,Citrus,CIT-HOM,5,12/04/2025,07:59:00 AM,EST,1.3,m,,,Sample,SECCHI01052026,Project Coast,
1,m,Citrus,CIT-HOM,6,12/04/2025,09:53:00 AM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
0.6,m,Citrus,CIT-HOM,7,12/04/2025,10:10:00 AM,EST,0.6,m,,S,Sample,SECCHI01052026,Project Coast,
1.4,m,Citrus,CIT-HOM,8,12/04/2025,11:24:00 AM,EST,1,m,,,Sample,SECCHI01052026,Project Coast,
0.3,m,Citrus,CIT-HOM,9,12/04/2025,10:57:00 AM,EST,0.3,m,,S,Sample,SECCHI01052026,Project Coast,
1.2,m,Citrus,CIT-HOM,10,12/04/2025,11:09:59 AM,EST,1.2,m,,S,Sample,SECCHI01052026,Project Coast,
,m,,,CCV1,01/06/2026,,,,m,,,QAQC,SECCHI01052026,Project Coast,
,m,,,MBLK2,01/05/2026,,,,m,,,QAQC,SECCHI01052026,Project Coast,
1.4,m,Citrus,CIT-WIT,1,12/17/2025,12:18:59 PM,EST,1.4,m,,S,Sample,SECCHI01052026,Project Coast,
1.6,m,Citrus,CIT-WIT,2,12/17/2025,09:57:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Citrus,CIT-WIT,3,12/17/2025,09:33:00 AM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
3,m,Citrus,CIT-WIT,4,12/17/2025,11:54:59 AM,EST,3,m,,S,Sample,SECCHI01052026,Project Coast,
2,m,Citrus,CIT-WIT,5,12/17/2025,12:37:00 PM,EST,2,m,,S,Sample,SECCHI01052026,Project Coast,
1.1000000000000001,m,Citrus,CIT-WIT,6,12/17/2025,01:00:00 PM,EST,1.1,m,,S,Sample,SECCHI01052026,Project Coast,
4.2,m,Citrus,CIT-WIT,7,12/17/2025,11:38:00 AM,EST,2.5,m,,,Sample,SECCHI01052026,Project Coast,
2.7,m,Citrus,CIT-WIT,8,12/17/2025,10:42:00 AM,EST,2.7,m,,S,Sample,SECCHI01052026,Project Coast,
1.2,m,Citrus,CIT-WIT,9,12/17/2025,11:02:00 AM,EST,1.2,m,,S,Sample,SECCHI01052026,Project Coast,
3.2,m,Citrus,CIT-WIT,10,12/17/2025,11:20:00 AM,EST,3.2,m,,S,Sample,SECCHI01052026,Project Coast,
0.6,m,Hernando,HER-CHA,1,12/18/2025,11:09:59 AM,EST,0.6,m,,S,Sample,SECCHI01052026,Project Coast,
1.3,m,Hernando,HER-CHA,2,12/18/2025,10:59:00 AM,EST,1.3,m,,S,Sample,SECCHI01052026,Project Coast,
2.2000000000000002,m,Hernando,HER-CHA,3,12/18/2025,10:49:00 AM,EST,1.6,m,,,Sample,SECCHI01052026,Project Coast,
1.7,m,Hernando,HER-CHA,4,12/18/2025,10:39:00 AM,EST,1.7,m,,S,Sample,SECCHI01052026,Project Coast,
1.5,m,Hernando,HER-CHA,5,12/18/2025,10:28:59 AM,EST,1.5,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Hernando,HER-CHA,6,12/18/2025,11:28:00 AM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
0.9,m,Hernando,HER-CHA,7,12/18/2025,11:37:00 AM,EST,0.9,m,,S,Sample,SECCHI01052026,Project Coast,
1.3,m,Hernando,HER-CHA,8,12/18/2025,10:20:00 AM,EST,1.3,m,,S,Sample,SECCHI01052026,Project Coast,
1.3,m,Hernando,HER-CHA,9,12/18/2025,10:09:00 AM,EST,1.3,m,,S,Sample,SECCHI01052026,Project Coast,
0.6,m,Hernando,HER-CHA,10,12/18/2025,09:57:00 AM,EST,0.6,m,,S,Sample,SECCHI01052026,Project Coast,
,m,,,CCV2,01/06/2026,,,,m,,,QAQC,SECCHI01052026,Project Coast,
,m,,,MBLK3,01/05/2026,,,,m,,,QAQC,SECCHI01052026,Project Coast,
1.1000000000000001,m,Hernando,HER-WEE,1,12/09/2025,09:11:00 AM,EST,1.1,m,,S,Sample,SECCHI01052026,Project Coast,
1.3,m,Hernando,HER-WEE,2,12/09/2025,11:23:00 AM,EST,1.3,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Hernando,HER-WEE,3,12/09/2025,10:56:00 AM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
0.7,m,Hernando,HER-WEE,4,12/09/2025,11:56:59 AM,EST,0.7,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Hernando,HER-WEE,5,12/09/2025,03:01:00 PM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
1.1000000000000001,m,Hernando,HER-WEE,6,12/09/2025,03:21:59 PM,EST,1.1,m,,S,Sample,SECCHI01052026,Project Coast,
1.2,m,Hernando,HER-WEE,7,12/09/2025,03:49:00 PM,EST,1.2,m,,S,Sample,SECCHI01052026,Project Coast,
0.8,m,Hernando,HER-WEE,8,12/09/2025,03:38:00 PM,EST,0.8,m,,S,Sample,SECCHI01052026,Project Coast,
1.7,m,Hernando,HER-WEE,9,12/09/2025,02:14:00 PM,EST,1.7,m,,S,Sample,SECCHI01052026,Project Coast,
1.3,m,Hernando,HER-WEE,10,12/09/2025,02:26:00 PM,EST,1.3,m,,S,Sample,SECCHI01052026,Project Coast,
2,m,Pasco,PAS-ANC,1,12/16/2025,11:37:00 AM,EST,2,m,,S,Sample,SECCHI01052026,Project Coast,
2.5,m,Pasco,PAS-ANC,2,12/16/2025,11:58:00 AM,EST,2.5,m,,S,Sample,SECCHI01052026,Project Coast,
3.4,m,Pasco,PAS-ANC,3,12/16/2025,10:45:00 AM,EST,2.1,m,,,Sample,SECCHI01052026,Project Coast,
2.2000000000000002,m,Pasco,PAS-ANC,4,12/16/2025,11:46:00 AM,EST,2,m,,,Sample,SECCHI01052026,Project Coast,
1,m,Pasco,PAS-ANC,5,12/16/2025,11:05:00 AM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
0.7,m,Pasco,PAS-ANC,6,12/16/2025,11:15:00 AM,EST,0.7,m,,S,Sample,SECCHI01052026,Project Coast,
2.5,m,Pasco,PAS-ANC,7,12/16/2025,11:25:00 AM,EST,2.5,m,,S,Sample,SECCHI01052026,Project Coast,
1,m,Pasco,PAS-ANC,8,12/16/2025,10:56:00 AM,EST,1,m,,S,Sample,SECCHI01052026,Project Coast,
2.2000000000000002,m,Pasco,PAS-ANC,9,12/16/2025,10:31:00 AM,EST,2.2,m,,S,Sample,SECCHI01052026,Project Coast,
1.2,m,Pasco,PAS-ANC,10,12/16/2025,12:10:00 PM,EST,1.2,m,,S,Sample,SECCHI01052026,Project Coast,
,m,,,CCV3,01/06/2026,,,,m,,,QAQC,SECCHI01052026,Project Coast,
,m,,,,,,,,ft,,,QAQC,SECCHI01052026,Project Coast,
,m,,,CCV4,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,Project Coast,
,m,,,MBLK5,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,Project Coast,
,m,,,CCV5,01/06/2026,,,,ft,,,Sample,SECCHI01052026,Project Coast,
,ft,,,MBLK1,01/05/2026,,,,ft,,,QAQC,SECCHI01052026,,
1,m,Pasco,PAS-ARI,1,12/11/2025,10:42:00 AM,EST,1,m,,S,Sample,SECCHI01052026,,
1.3,m,Pasco,PAS-ARI,2,12/11/2025,10:11:00 AM,EST,1.3,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-ARI,3,12/11/2025,10:28:59 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
1.4,m,Pasco,PAS-ARI,4,12/11/2025,11:44:00 AM,EST,1.4,m,,S,Sample,SECCHI01052026,,
0.6,m,Pasco,PAS-ARI,5,12/11/2025,09:55:00 AM,EST,0.6,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-ARI,6,12/11/2025,11:53:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
0.9,m,Pasco,PAS-ARI,7,12/11/2025,09:39:59 AM,EST,0.9,m,,S,Sample,SECCHI01052026,,
0.8,m,Pasco,PAS-ARI,8,12/11/2025,11:01:00 AM,EST,0.8,m,,S,Sample,SECCHI01052026,,
1.5,m,Pasco,PAS-ARI,9,12/11/2025,11:13:00 AM,EST,1.5,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-ARI,10,12/11/2025,11:23:00 AM,EST,2.1,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-HUD,1,12/11/2025,12:02:00 PM,EST,2.1,m,,S,Sample,SECCHI01052026,,
1.2,m,Pasco,PAS-HUD,2,12/11/2025,09:25:00 AM,EST,1.2,m,,S,Sample,SECCHI01052026,,
2.7,m,Pasco,PAS-HUD,3,12/11/2025,12:12:00 PM,EST,2.7,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-HUD,4,12/11/2025,09:11:00 AM,EST,2.1,m,,S,Sample,SECCHI01052026,,
1.2,m,Pasco,PAS-HUD,5,12/11/2025,08:56:59 AM,EST,1.2,m,,S,Sample,SECCHI01052026,,
2.1,m,Pasco,PAS-HUD,6,12/11/2025,12:30:00 PM,EST,2.1,m,,S,Sample,SECCHI01052026,,
0.9,m,Pasco,PAS-HUD,7,12/11/2025,01:16:00 PM,EST,0.9,m,,S,Sample,SECCHI01052026,,
2.4,m,Pasco,PAS-HUD,8,12/11/2025,12:40:00 PM,EST,2.4,m,,S,Sample,SECCHI01052026,,
1.1000000000000001,m,Pasco,PAS-HUD,9,12/11/2025,01:03:59 PM,EST,1.1,m,,S,Sample,SECCHI01052026,,
1.7,m,Pasco,PAS-HUD,10,12/11/2025,12:51:00 PM,EST,1.7,m,,S,Sample,SECCHI01052026,,
,m,,,CCV1,01/06/2026,,,,m,,,QAQC,SECCHI01052026,,
,m,,,MBLK2,01/05/2026,,,,m,,,QAQC,SECCHI01052026,,
0.4,m,Pasco,PAS-PIT,1,12/16/2025,08:36:00 AM,EST,0.4,m,,S,Sample,SECCHI01052026,,
1.4,m,Pasco,PAS-PIT,2,12/16/2025,09:10:00 AM,EST,1.4,m,,S,Sample,SECCHI01052026,,
1,m,Pasco,PAS-PIT,3,12/16/2025,12:40:00 PM,EST,1,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-PIT,4,12/16/2025,09:45:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
1.7,m,Pasco,PAS-PIT,5,12/16/2025,09:58:00 AM,EST,1.7,m,,S,Sample,SECCHI01052026,,
1.6,m,Pasco,PAS-PIT,6,12/16/2025,09:35:00 AM,EST,1.6,m,,S,Sample,SECCHI01052026,,
1,m,Pasco,PAS-PIT,7,12/16/2025,12:51:00 PM,EST,1,m,,S,Sample,SECCHI01052026,,
1.4,m,Pasco,PAS-PIT,8,12/16/2025,10:10:00 AM,EST,1.4,m,,S,Sample,SECCHI01052026,,
0.7,m,Pasco,PAS-PIT,9,12/16/2025,12:26:00 PM,EST,0.7,m,,S,Sample,SECCHI01052026,,
2.4,m,Pasco,PAS-PIT,10,12/16/2025,10:19:00 AM,EST,2.4,m,,S,Sample,SECCHI01052026,,
8,ft,Lake,Bear,1,08/04/2025,08:00:00 AM,EST,1.8,ft,,,Sample,SECCHI01052026,,
9,ft,Lake,Bear,2,08/04/2025,08:10:00 AM,EST,1.8,ft,,,Sample,SECCHI01052026,,
8.5,ft,Lake,Bear,3,08/04/2025,08:30:00 AM,EST,1.8,ft,,,Sample,SECCHI01052026,,
,ft,,,CCV2,,,,,ft,,,Sample,SECCHI01052026,,
,ft,,,CCV2,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,MBLK3,01/05/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,CCV3,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,MBLK4,01/05/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,CCV4,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,MBLK5,01/06/2026,,,,ft,,,QAQC,SECCHI01052026,,
,ft,,,CCV5,01/06/2026,,,,ft,,,Sample,SECCHI01052026,,
