"Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Org_Result_Value","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","LWID","Comments","Sampling_Agency_Name","Project_ID"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Blues Creek-2","1","07/15/2024",,1,0.02,15,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Alachua","Deer Run","1","04/15/2024",,1,0.012,9,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","L1","10/24/2024",,1,0.143,108,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","L3","10/24/2024",,1,0.175,132,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","OD","10/24/2024",,1,0.138,104,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","OS","10/24/2024",,1,0.107,81,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"09/13/2024","3:06:00 PM","EDT","09/16/2024","1:59:00 PM","EDT","Alachua","Santa Fe-Blue Bayou Canal","1","08/19/2024",,1,0.031,22,,,,,,"Sample","COL91320249162024",,,"Florida Lakewatch","21FLKWAT"
"01/01/2004","12:00:00 AM","EDT","09/25/2024","1:56:00 PM","EDT","Alachua","Santa Fe-Blue bayou canal mouth","1","07/29/2024",,1,0.029,22,,,,,,"Sample","COL0924202409252024",,,"Florida Lakewatch","21FLKWAT"
"08/23/2024","3:00:00 PM","EDT","08/28/2024","2:30:00 PM","EDT","Charlotte","WF-4","1","04/23/2024",,1,0.106,76,,,,,,"Sample","COL8232482824",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Crystal River-1","1","07/17/2024",,1,0.023,17,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Crystal River-6","1","07/26/2024",,1,0.018,13,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Crystal River-7","1","07/17/2024",,1,0.015,11,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Floral City","1","07/30/2024",,1,0.08,61,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Floral City North","1","07/30/2024",,1,0.08,61,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Hampton","1","07/30/2024",,1,0.06,45,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Magnolia Creek-1","1","07/19/2024",,1,0.044,33,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Magnolia Creek-2","1","07/19/2024",,1,0.011,8,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Magnolia Creek-3","1","07/19/2024",,1,0.009,6,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Magnolia Creek-4","1","07/19/2024",,1,0.005,3,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Magnolia Creek-mullet hole","1","07/19/2024",,1,0.014,10,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Tsala Apopka South","1","07/30/2024",,1,0.081,62,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Clay","Flemingbrook-5","1","04/04/2024",,1,0.036,26,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Clay","Flemingbrook-6","1","04/05/2024",,1,0.045,33,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"08/23/2024","3:00:00 PM","EDT","08/28/2024","2:30:00 PM","EDT","Collier","PCL-5","1","01/24/2024",,1,0.016,12,,,"Q","Q",,"Sample","COL8232482824",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Collier","Seacrest 2","1","04/30/2024",,1,0.012,9,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","Cattledip","1","04/09/2024",,1,0.155,118,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","Depot Creek-1","1","04/09/2024",,2,0.172,263,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","Dove Field-1","1","04/09/2024",,2,0.123,187,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","Money Bayou-1","1","04/09/2024",,2,0.188,287,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","Pond Road","1","04/09/2024",,4,0.063,191,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","Simmons Bayou-1","1","04/09/2024",,1,0.044,33,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Gulf","South Gate","1","04/09/2024",,4,0.05,151,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hernando","Arepika Channel","1","07/30/2024",,1,0.007,5,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hernando","Chassahowitzka Channel","1","07/30/2024",,1,0.009,6,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hernando","Cutter Rock","1","07/30/2024",,1,0.007,5,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hernando","Hernando Beach Waters","1","07/30/2024",,1,0.007,5,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Hernando","Mountain","1","04/28/2024",,1,0.057,43,,,"Q","Q",,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hernando","North Rack","1","07/30/2024",,1,0.009,6,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hernando","Pine Island","1","07/30/2024",,1,0.011,8,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"09/25/2024","1:00:00 PM","EDT","10/01/2024","1:30:00 PM","EDT","Highlands","June","1","07/23/2024",,1,0.014,11,,,,,,"Sample","COL1001202409252024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Armistead","1","04/16/2024",,1,0.088,63,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Brant","1","04/29/2024",,1,0.035,26,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Brant - special","1","07/24/2024",,1,0.024,17,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Brant - special","2","07/24/2024",,1,0.024,17,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Brant - special","3","07/24/2024",,1,0.026,18,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Breakenridge","1","04/20/2024",,1,0.039,28,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hillsborough","Breakenridge","1","07/17/2024",,1,0.015,11,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Carroll","1","04/14/2024",,1,0.008,7,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Church","1","04/26/2024",,1,0.017,13,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Church - special","1","08/20/2024",,1,0.015,10,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Church - special","2","08/20/2024",,1,0.017,12,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Church - special","3","08/20/2024",,1,0.019,13,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Cooper","1","04/14/2024",,1,0.026,19,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Crystal","1","04/21/2024",,1,0.066,47,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hillsborough","Cypress Creek-122-1","1","07/30/2024",,1,0.109,82,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Hillsborough","Cypress Creek-122-2","1","07/30/2024",,1,0.12,90,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Dosson","1","04/01/2024",,1,0.087,62,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Estes","1","04/10/2024",,1,0.043,31,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Hobbs","1","04/28/2024",,1,0.026,19,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Hog Island","1","04/15/2024",,1,0.047,34,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Island Ford","1","04/01/2024",,1,0.027,20,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","James - special","1","08/20/2024",,1,0.05,36,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","James - special","2","08/20/2024",,1,0.05,36,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","James - special","3","08/20/2024",,1,0.053,38,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","June","1","04/02/2024",,1,0.053,38,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Lykes Lane Pond","1","04/03/2024",,1,0.075,54,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Magdalene","1","04/25/2024",,1,0.023,17,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"10/31/2024","3:08:00 PM","EDT","11/01/2024","12:00:00 AM","EDT","Hillsborough","Mid","1","07/14/2024",,1,0.034,26,,,,,,"Sample","COL1031202411012024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Newlands","1","04/25/2024",,1,0.06,43,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","North Pond","1","04/07/2024",,1,0.029,21,,,"Q","Q",,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Osceola - special","1","08/15/2024",,1,0.034,24,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Osceola - special","2","08/15/2024",,1,0.03,21,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Osceola - special","3","08/15/2024",,1,0.031,22,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Pine","1","04/20/2024",,1,0.024,18,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Platt","1","04/20/2024",,1,0.024,18,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","Strawberry","1","04/28/2024",,1,0.043,31,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Strawberry - special","1","07/24/2024",,1,0.034,24,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Strawberry - special","2","07/24/2024",,1,0.027,19,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/12/2024","3:45:00 PM","EDT","09/13/2024","11:50:00 AM","EDT","Hillsborough","Strawberry - special","3","07/24/2024",,1,0.034,24,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Hillsborough","White Trout","1","04/16/2024",,1,0.015,11,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"10/24/2024","12:02:00 PM","EDT","10/28/2024","2:44:00 PM","EDT","Lake","Crescent","1","04/30/2024",,1,0.076,57,,,"Q","Q",,"Sample","COL1024202410282024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Lake","Crescent","1","07/31/2024",,1,0.059,45,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"08/29/2024","3:19:00 PM","EDT","08/30/2024","12:10:00 PM","EDT","Lake","Crown","1","04/10/2024",,1,0.031,23,,,,,,"Sample","COL082924083024",,,"Florida Lakewatch","21FLKWAT"
"08/29/2024","3:19:00 PM","EDT","08/30/2024","12:10:00 PM","EDT","Lake","Dorr","1","07/14/2024",,1,0.022,16,,,,,,"Sample","COL082924083024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Lake","Dorr","1","07/23/2024",,1,0.064,48,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Lake","Florence","1","07/09/2024",,1,0.015,11,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"08/29/2024","3:19:00 PM","EDT","08/30/2024","12:10:00 PM","EDT","Lake","Jewel","1","04/10/2024",,1,0.047,34,,,,,,"Sample","COL082924083024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Lake","Joanna","1","07/12/2024",,1,0.015,11,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Lake","Lorraine","1","07/29/2024",,1,0.063,48,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"08/29/2024","3:19:00 PM","EDT","08/30/2024","12:10:00 PM","EDT","Lake","Royal","1","04/10/2024",,1,0.023,17,,,,,,"Sample","COL082924083024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Lake","Saunders","1","07/01/2024",,1,0.02,15,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Lake","Sellers","1","07/23/2024",,1,0.008,6,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Lake","Wildcat","1","07/23/2024",,1,0.031,23,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Leon","Munson","1","07/06/2024",,1,0.054,40,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Marion","Charles","1","07/23/2024",,1,0.136,102,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/29/2024","10:00:00 AM","EDT","10/30/2024","12:00:00 AM","EDT","Marion","Halfmoon","1","07/23/2024",,1,0.044,33,,,,,,"Sample","COL1029202410302024",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/17/2024","10:41:00 AM","EDT","Marion","Lou","1","07/29/2024",,1,0.161,126,,,,,,"Sample","COL1015202410172024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Ponar 1","10/22/2024",,2,0.097,146,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Ponar 2","10/22/2024",,2,0.137,207,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Ponar 3","10/22/2024",,2,0.087,131,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Reservoir 2","10/22/2024",,2,0.117,177,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Canal 1","10/23/2024",,2,0.146,221,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Canal 2","10/23/2024",,4,0.074,223,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Canal 3","10/23/2024",,4,0.071,214,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Downstream 1","10/23/2024",,2,0.187,283,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Downstream 2","10/23/2024",,5,0.159,601,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Downstream 3","10/23/2024",,4,0.067,202,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Downstream 4","10/23/2024",,4,0.07,211,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Downstream 5","10/23/2024",,4,0.064,193,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Marion","Ocklawaha River_Belchior_Student Project","Downstream 6","10/23/2024",,4,0.073,220,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
